Frequency (Hz);Amplitude (V);Phase (deg)
30991.28713512142; 4.51097100195e-09; 89.5494334752
30991.61912795153; 4.81726317821e-09; 102.105118058
30991.95112078165; 6.32385446124e-09; 90.3585712191
30992.28311361176; 4.11498110739e-09; 71.3192434981
30992.61510644188; 5.60171004773e-09; 82.9346216792
30992.94709927199; 5.99860584462e-09; 83.9973857751
30993.27909210211; 4.62073720098e-09; 91.7633154572
30993.61108493222; 4.69426782043e-09; 94.752295138
30993.94307776233; 4.97129501157e-09; 83.5722449891
30994.27507059245; 5.65700475961e-09; 98.2632873567
30994.60706342257; 7.02862811275e-09; 89.0004845177
30994.93905625268; 4.97192398102e-09; 85.7867654925
30995.27104908279; 4.6387296214e-09; 95.6544239767
30995.60304191291; 4.66740993286e-09; 93.5764760619
30995.93503474302; 6.10020139994e-09; 82.1937650736
30996.26702757314; 5.86139734127e-09; 101.126255962
30996.59902040325; 5.77349939627e-09; 94.9645589034
30996.93101323337; 5.70964928644e-09; 74.4184153584
30997.26300606348; 6.34721003282e-09; 88.087838382
30997.59499889359; 3.90119182894e-09; 84.5845367633
30997.92699172371; 5.26181428416e-09; 108.903008896
30998.25898455382; 6.40837660971e-09; 102.608828354
30998.59097738394; 5.22911363972e-09; 77.8510077892
30998.92297021405; 6.09501447678e-09; 83.0621606722
30999.25496304416; 5.99996715156e-09; 94.9964559038
30999.58695587428; 5.94047531037e-09; 87.7667321274
30999.9189487044; 5.71692904954e-09; 85.3084697158
31000.25094153451; 6.53655118809e-09; 83.40808572
31000.58293436462; 4.43226499797e-09; 63.450840989
31000.91492719474; 7.32383321828e-09; 99.7782502566
31001.24692002485; 3.72596489935e-09; 92.7595584851
31001.57891285497; 3.97122796028e-09; 93.9824853236
31001.91090568508; 6.0165386673e-09; 96.2443860506
31002.2428985152; 5.52250081352e-09; 102.790682188
31002.57489134531; 6.37563062252e-09; 88.5289070971
31002.90688417542; 6.16445508561e-09; 91.7504888118
31003.23887700554; 7.05969689929e-09; 86.2079974511
31003.57086983565; 6.50086977077e-09; 96.103482518
31003.90286266577; 5.16670020785e-09; 85.7385473915
31004.23485549588; 4.65939173808e-09; 78.2138560321
31004.566848326; 5.73594127957e-09; 98.5811818665
31004.89884115611; 7.51623821464e-09; 87.0470596339
31005.23083398622; 6.31659970922e-09; 86.8201944438
31005.56282681634; 7.12573215085e-09; 100.681641842
31005.89481964646; 5.44509176899e-09; 83.035360124
31006.22681247657; 3.693769892e-09; 82.4968234464
31006.55880530668; 5.2685765839e-09; 86.6416225011
31006.8907981368; 6.38980299758e-09; 87.2995911814
31007.22279096691; 6.5840137255e-09; 92.7678453063
31007.55478379703; 6.19051282769e-09; 73.9669568234
31007.88677662714; 5.61839165299e-09; 93.7489068749
31008.21876945726; 5.4040081283e-09; 105.239129286
31008.55076228737; 6.2470729111e-09; 90.211186904
31008.88275511748; 5.09830588407e-09; 80.5065520368
31009.2147479476; 5.27980946798e-09; 91.9214100629
31009.54674077771; 6.67254551727e-09; 113.625763551
31009.87873360783; 5.27713940022e-09; 103.906686469
31010.21072643794; 4.82854047055e-09; 102.242162535
31010.54271926806; 7.50716675979e-09; 91.6532296003
31010.87471209817; 4.34547734461e-09; 95.6215253495
31011.20670492829; 4.92791961837e-09; 86.9549921943
31011.5386977584; 4.55293444263e-09; 95.6768959685
31011.87069058852; 4.10631455206e-09; 85.2953805889
31012.20268341863; 6.53640623118e-09; 90.2986960162
31012.53467624874; 6.12115840719e-09; 90.8103711082
31012.86666907886; 7.24257820307e-09; 94.9699579946
31013.19866190897; 6.26268892287e-09; 106.373258598
31013.53065473909; 7.04985660228e-09; 80.1731517152
31013.8626475692; 6.0655464593e-09; 97.0707954627
31014.19464039931; 5.60825419937e-09; 79.2528954604
31014.52663322943; 6.03705153329e-09; 82.134268812
31014.85862605954; 5.36241849305e-09; 95.1819251824
31015.19061888966; 5.46893927732e-09; 88.5356497838
31015.52261171977; 5.75352899712e-09; 84.2785755707
31015.85460454989; 6.10265665374e-09; 99.0145717625
31016.18659738; 5.89520793967e-09; 83.2321260211
31016.51859021011; 5.50782662306e-09; 93.9077204322
31016.85058304023; 6.00057088645e-09; 84.7602171434
31017.18257587035; 5.24535245189e-09; 78.5239198867
31017.51456870046; 4.40757506986e-09; 90.546602963
31017.84656153057; 6.02342991074e-09; 82.8801334672
31018.17855436069; 6.18274219543e-09; 91.3788390587
31018.5105471908; 6.5402616398e-09; 89.3845024703
31018.84254002092; 6.23807225076e-09; 101.426772045
31019.17453285103; 6.46401946073e-09; 79.4082509283
31019.50652568115; 5.27607949247e-09; 78.9306387483
31019.83851851126; 5.56932226234e-09; 82.9338425558
31020.17051134137; 6.98008968863e-09; 86.1517936224
31020.50250417149; 4.87174575349e-09; 84.4891605628
31020.8344970016; 5.51749387195e-09; 85.8919399721
31021.16648983172; 6.6967780531e-09; 71.9287124327
31021.49848266183; 6.24157463483e-09; 79.0860766499
31021.83047549195; 4.70857291424e-09; 115.289914456
31022.16246832206; 7.2012039635e-09; 86.1971950134
31022.49446115218; 4.85568041037e-09; 95.805517616
31022.82645398229; 4.80716055119e-09; 77.1174261517
31023.15844681241; 7.01572595223e-09; 106.556403442
31023.49043964252; 7.93598245862e-09; 90.7028231153
31023.82243247263; 6.48359726064e-09; 99.524888941
31024.15442530275; 6.18381138369e-09; 77.0731261741
31024.48641813286; 6.86955856307e-09; 79.4171154826
31024.81841096298; 6.02917689121e-09; 102.135026677
31025.15040379309; 6.42910597664e-09; 118.315495586
31025.48239662321; 5.38824620518e-09; 72.6584514062
31025.81438945332; 5.51449351884e-09; 96.0404016548
31026.14638228343; 5.85387508297e-09; 101.970037471
31026.47837511355; 5.50558286002e-09; 85.4475491514
31026.81036794366; 5.23045689882e-09; 90.1385094219
31027.14236077378; 6.81381960761e-09; 102.366698561
31027.47435360389; 6.0234351709e-09; 65.3981445806
31027.806346434; 5.98228676702e-09; 73.4568857069
31028.13833926412; 5.39829640909e-09; 93.1746689393
31028.47033209424; 7.28358047085e-09; 92.115295382
31028.80232492435; 7.44878205372e-09; 102.383619991
31029.13431775446; 6.88184926268e-09; 93.9524215756
31029.46631058458; 8.20118165668e-09; 88.3079504626
31029.79830341469; 6.00097563332e-09; 78.5529844248
31030.13029624481; 5.15408742408e-09; 88.0656456979
31030.46228907492; 6.72684105924e-09; 83.732015854
